Date,Confirmed Cases ,Confirmed Deaths
2/9/2021,27320441,473921
2/10/2021,27416273,477328
2/11/2021,27522576,480519
2/12/2021,27622605,483403
2/13/2021,27711459,485699
2/14/2021,27777808,486897
2/15/2021,27832451,487846
2/16/2021,27891055,489490
2/17/2021,27961123,491936
2/18/2021,28032479,494543
2/19/2021,28110664,497078
2/20/2021,28184071,499011
2/21/2021,28241967,500238
2/22/2021,28296804,501439
2/23/2021,28368817,503715
2/24/2021,28443828,506979
2/25/2021,28521885,509409
2/26/2021,28600619,511564
2/27/2021,28666684,513085
2/28/2021,28718551,514192
3/1/2021,28773039,515511
3/2/2021,28830105,517444
3/3/2021,28897254,520025
3/4/2021,28965786,521977
3/5/2021,29032651,523700
3/6/2021,29091946,525231
3/7/2021,29134012,525942
3/8/2021,29178325,526647
3/9/2021,29234131,528431
3/10/2021,29292364,530003
3/11/2021,29355260,531577
3/12/2021,29417333,533008
3/13/2021,29470925,534005
3/14/2021,29509777,534537
3/15/2021,29564544,535237
3/16/2021,29618925,536498
3/17/2021,29678413,537715
3/18/2021,29738938,539363
3/19/2021,29801003,540409
3/20/2021,29858024,541182
3/21/2021,29893002,541972
3/22/2021,29942482,542505
3/23/2021,29995780,543450
3/24/2021,30082900,544985
3/25/2021,30150876,546343
3/26/2021,30228412,547511
3/27/2021,30290635,548325
3/28/2021,30336989,548775
3/29/2021,30404286,549429
3/30/2021,30465723,550354
3/31/2021,30532694,551455
4/1/2021,30611880,552578
4/2/2021,30683729,553479
4/3/2021,30747975,554250
4/4/2021,30784624,554553
4/5/2021,30857777,555010
4/6/2021,30918920,555874
4/7/2021,30993906,558468
4/8/2021,31074158,559511
4/9/2021,31158495,560421
4/10/2021,31227789,561145
4/11/2021,31274232,561430
4/12/2021,31341189,561882
4/13/2021,31420333,562759
4/14/2021,31495649,563695
4/15/2021,31569559,564600
4/16/2021,31649936,565461
4/17/2021,31704097,566169
4/18/2021,31746979,566498
4/19/2021,31813153,567002
4/20/2021,31874073,567849
4/21/2021,31937897,568738
4/22/2021,32004887,569683
4/23/2021,32067266,570445
4/24/2021,32121459,571209
4/25/2021,32155433,571503
4/26/2021,32201093,571976
4/27/2021,32251826,572652
4/28/2021,32306919,573647
4/29/2021,32365832,574540
4/30/2021,32423991,575348
5/1/2021,32470651,576093
5/2/2021,32500713,576414
5/3/2021,32549484,576887
5/4/2021,32590283,577799
5/5/2021,32635987,578612
5/6/2021,32682942,579439
5/7/2021,32731048,580263
5/8/2021,32765567,580898
5/9/2021,32787667,581137
5/10/2021,32822819,581536
5/11/2021,32856880,582236
5/12/2021,32893073,583034
5/13/2021,32931602,583824
5/14/2021,32973465,584456
5/15/2021,33003075,584985
5/16/2021,33020516,585249
5/17/2021,33048287,585643
5/18/2021,33076084,586423
5/19/2021,33105592,587107
5/20/2021,33135436,587791
5/21/2021,33163988,588426
5/22/2021,33184562,588910
5/23/2021,33198034,589100
5/24/2021,33222478,589538
5/25/2021,33245568,590185
5/26/2021,33270101,591162
5/27/2021,33297250,592517
5/28/2021,33319173,593057
5/29/2021,33331791,593407
5/30/2021,33338967,593556
5/31/2021,33345078,593718
6/1/2021,33366574,594357
6/2/2021,33383769,594921
6/3/2021,33402873,595560
6/4/2021,33420007,596087
6/5/2021,33434612,596668
6/6/2021,33440437,596832
6/7/2021,33455266,597138
6/8/2021,33468347,597469
6/9/2021,33487336,597949
6/10/2021,33501700,598367
6/11/2021,33526534,598906
6/12/2021,33535298,599182
6/13/2021,33540562,599286
6/14/2021,33552708,599466
6/15/2021,33563608,599800
6/16/2021,33576185,600183
6/17/2021,33586808,600500
6/18/2021,33608173,601114
6/19/2021,33616854,601293
6/20/2021,33621439,601366
6/21/2021,33632775,601624
6/22/2021,33643640,601975
6/23/2021,33656798,602374
6/24/2021,33670460,602714
6/25/2021,33694795,603237
6/26/2021,33703667,603397
6/27/2021,33708049,603470
6/28/2021,33722356,603616
6/29/2021,33729139,603953
6/30/2021,33745462,604248
7/1/2021,33759839,604534
7/2/2021,33789218,604969
7/3/2021,33794117,605059
7/4/2021,33798017,605100
7/5/2021,33806926,605224
7/6/2021,33830000,605524
7/7/2021,33852633,605845
7/8/2021,33871661,606093
7/9/2021,33919152,606555
7/10/2021,33927934,606641
7/11/2021,33939289,606755
7/12/2021,33972340,606986
7/13/2021,33998731,607345
7/14/2021,34031900,607677
7/15/2021,34061808,608003
7/16/2021,34139287,608361
7/17/2021,34151681,608436
7/18/2021,34171876,608614
7/19/2021,34223268,608801
7/20/2021,34263837,609093
7/21/2021,34314421,609445
7/22/2021,34369086,609739
7/23/2021,34488481,610299
7/24/2021,34514592,610421
7/25/2021,34540730,610508
7/26/2021,34625819,610768
7/27/2021,34694558,611218
7/28/2021,34763997,611599
7/29/2021,34843287,611926
7/30/2021,35031358,612799
7/31/2021,35065578,612958
8/1/2021,35109418,613174
8/2/2021,35227169,613526
8/3/2021,35330370,614110
8/4/2021,35427042,614643
8/5/2021,35537965,615147
8/6/2021,35793262,616301
8/7/2021,35844735,616553
8/8/2021,35874059,616671
8/9/2021,36049960,617169
8/10/2021,36171170,618034
8/11/2021,36327428,618813
8/12/2021,36469625,619825
8/13/2021,36699472,620881
8/14/2021,36751301,621143
8/15/2021,36795656,621328
8/16/2021,37010426,622365
8/17/2021,37163247,623393
8/18/2021,37321875,624568
8/19/2021,37479114,626349
8/20/2021,37724800,627828
8/21/2021,37794718,628380
8/22/2021,37833727,628559
8/23/2021,38065136,629920
8/24/2021,38222263,631342
8/25/2021,38391696,632832
8/26/2021,38576143,635053
8/27/2021,38819722,636776
8/28/2021,38885039,637409
8/29/2021,38930590,637698
8/30/2021,39182598,639431
8/31/2021,39353876,640874
9/1/2021,39556129,642908
9/2/2021,39731212,645861
9/3/2021,39966805,647829
